,weather_key,Game Date,City,Temperature,Weather,Code
98,Indianapolis-42295,10/18/2015,Indianapolis,54,Clear,113
99,Indianapolis-42302,10/25/2015,Indianapolis,58,Clear,113
100,Indianapolis-42316,11/8/2015,Indianapolis,54,Clear,113
101,Indianapolis-42337,11/29/2015,Indianapolis,37,Overcast,122
102,Indianapolis-42358,12/20/2015,Indianapolis,33,Overcast,122
103,Indianapolis-42372,1/3/2016,Indianapolis,21,Overcast,122
104,Indianapolis-42624,9/11/2016,Indianapolis,72,Partly cloudy,116
105,Indianapolis-42638,9/25/2016,Indianapolis,86,Partly cloudy,116
106,Indianapolis-42652,10/9/2016,Indianapolis,64,Clear,113
107,Indianapolis-42673,10/30/2016,Indianapolis,61,Overcast,122
108,Indianapolis-42694,11/20/2016,Indianapolis,27,Clear,113
109,Indianapolis-42698,11/24/2016,Indianapolis,42,Overcast,122
110,Indianapolis-42715,12/11/2016,Indianapolis,22,Light sleet,317
111,Indianapolis-42736,1/1/2017,Indianapolis,37,Overcast,122
112,New Orleans-42267,9/20/2015,New Orleans,100,Partly cloudy,116
113,New Orleans-42281,10/4/2015,New Orleans,77,Clear,113
114,New Orleans-42292,10/15/2015,New Orleans,89,Clear,113
115,New Orleans-42309,11/1/2015,New Orleans,84,Moderate or heavy rain shower,356
116,New Orleans-42316,11/8/2015,New Orleans,65,Overcast,122
117,New Orleans-42344,12/6/2015,New Orleans,64,Overcast,122
118,New Orleans-42359,12/21/2015,New Orleans,65,Moderate or heavy rain shower,356
119,New Orleans-42365,12/27/2015,New Orleans,75,Patchy rain possible,176
120,New Orleans-42624,9/11/2016,New Orleans,88,Light rain shower,353
121,New Orleans-42639,9/26/2016,New Orleans,90,Patchy rain possible,176
122,New Orleans-42659,10/16/2016,New Orleans,85,Patchy rain possible,176
123,New Orleans-42673,10/30/2016,New Orleans,82,Overcast,122
124,New Orleans-42687,11/13/2016,New Orleans,70,Partly cloudy,116
125,New Orleans-42701,11/27/2016,New Orleans,66,Partly cloudy,116
126,New Orleans-42708,12/4/2016,New Orleans,73,Light rain shower,353
127,New Orleans-42728,12/24/2016,New Orleans,78,Partly cloudy,116
128,Detroit-42274,9/27/2015,Detroit,69,Clear,113
129,Detroit-42288,10/11/2015,Detroit,68,Clear,113
130,Detroit-42295,10/18/2015,Detroit,44,Clear,113
131,Detroit-42302,10/25/2015,Detroit,59,Clear,113
132,Detroit-42330,11/22/2015,Detroit,19,Cloudy,119
133,Detroit-42334,11/26/2015,Detroit,45,Cloudy,119
134,Detroit-42341,12/3/2015,Detroit,35,Clear,113
135,Detroit-42365,12/27/2015,Detroit,29,Overcast,122
136,Detroit-42631,9/18/2016,Detroit,73,Clear,113
137,Detroit-42652,10/9/2016,Detroit,53,Partly cloudy,116
138,Detroit-42659,10/16/2016,Detroit,69,Overcast,122
139,Detroit-42666,10/23/2016,Detroit,64,Clear,113
140,Detroit-42694,11/20/2016,Detroit,20,Clear,113
141,Detroit-42698,11/24/2016,Detroit,38,Overcast,122
