,Game Date,City,Temperature,Weather,Code
130,2015-10-11,Arlington,93,Clear,113
131,2015-11-01,Arlington,64,Fog,248
132,2015-11-08,Arlington,62,Clear,113
133,2015-11-26,Arlington,68,Light rain shower,353
134,2015-12-19,Arlington,49,Overcast,122
135,2016-01-03,Arlington,51,Clear,113
136,2015-09-13,Houston,82,Clear,113
137,2015-09-27,Houston,84,Patchy rain possible,176
138,2015-10-08,Houston,89,Overcast,122
139,2015-11-01,Houston,77,Mist,143
140,2015-11-22,Houston,53,Clear,113
141,2015-11-29,Houston,50,Overcast,122
142,2015-12-13,Houston,63,Clear,113
143,2016-01-03,Houston,55,Clear,113
144,2015-09-20,Green Bay,67,Clear,113
145,2015-09-28,Green Bay,77,Moderate or heavy rain shower,356
146,2015-10-11,Green Bay,69,Clear,113
147,2015-10-18,Green Bay,46,Clear,113
148,2015-11-15,Green Bay,49,Clear,113
149,2015-11-26,Green Bay,33,Light rain,296
150,2015-12-13,Green Bay,47,Heavy rain,308
151,2016-01-03,Green Bay,19,Overcast,122
